ID,pred
25318,0.09795513
25319,0.06649042
25320,0.06802967
25321,0.48830897
25322,0.08408164
25323,0.05952354
25324,0.059365854
25325,0.060713343
25326,0.080098495
25327,0.15969783
25328,0.6673171
25329,0.08301868
25330,0.060710546
25331,0.059252977
25332,0.060123924
25333,0.05969023
25334,0.104914516
25335,0.05952354
25336,0.066526696
25337,0.20073076
25338,0.16650712
25339,0.11393454
25340,0.05949161
25341,0.072491
25342,0.3247515
25343,0.06708844
25344,0.078930385
25345,0.059843
25346,0.08774058
25347,0.05934829
25348,0.085695386
25349,0.062248997
25350,0.06483427
25351,0.062248997
25352,0.09225842
25353,0.06325662
25354,0.07698611
25355,0.13425663
25356,0.28094548
25357,0.081814446
25358,0.1627925
25359,0.06911933
25360,0.060588326
25361,0.07996155
25362,0.106557325
25363,0.42478094
25364,0.07220333
25365,0.05934829
25366,0.09350041
25367,0.060793303
25368,0.43850365
25369,0.1554211
25370,0.060812432
25371,0.18308705
25372,0.059594143
25373,0.16146472
25374,0.2674937
25375,0.059465628
25376,0.12126609
25377,0.06171691
25378,0.07721621
25379,0.08771098
25380,0.05963379
25381,0.0726152
25382,0.059591576
25383,0.16518123
25384,0.062032115
25385,0.10872888
25386,0.059530623
25387,0.14137486
25388,0.078597404
25389,0.4240015
25390,0.060812432
25391,0.06335489
25392,0.72429746
25393,0.08899984
25394,0.3249913
25395,0.07250528
25396,0.060812432
25397,0.07950254
25398,0.7676018
25399,0.13651693
25400,0.05934829
25401,0.06454434
25402,0.6331411
25403,0.082284175
25404,0.06552786
25405,0.6329438
25406,0.062157653
25407,0.08643935
25408,0.2611603
25409,0.065734625
25410,0.09594539
25411,0.07719496
25412,0.2661631
25413,0.8835064
25414,0.23635368
25415,0.5677162
25416,0.06507905
25417,0.20431638
25418,0.06409868
25419,0.05956789
25420,0.08346543
25421,0.059252977
25422,0.060585175
25423,0.060131412
25424,0.06599354
25425,0.059214592
25426,0.06557165
25427,0.43010592
25428,0.05934829
25429,0.1869362
25430,0.13091767
25431,0.079108916
25432,0.07393327
25433,0.062316243
25434,0.5980863
25435,0.07433773
25436,0.06537704
25437,0.059843
25438,0.05934829
25439,0.49316126
25440,0.30683812
25441,0.48694447
25442,0.061231915
25443,0.059969716
25444,0.38288575
25445,0.06708844
25446,0.1260309
